sentiment,text,user
"neutral","RT @Pops_TDK: Business/Data Analyst Graduate\n\nR12 000 – R18000 per month negotiable\nBSc in Statics / Mathematical Statistics / Computer Sci…","Pearl67890"
"positive","RT @QoGData: 🚨Do you or someone you know enjoy pol. science and data? We're looking for a new member in our data team in QoG! Learn more ab…","MathewsonPhD"
"positive","RT @vboykis: Hot data science trends:\n\n2011 T-tests on laptops\n2012 Hadoop\n2013 Bayesian inference\n2016 Spark\n2017 Deep learning\n2019 Reinf…","m2n037"
"neutral","RT @EvolveML: 4 Kursus Data Science dan Machine Learning di Jakarta!\n\n#ArtificialIntelligence #MachineLearning #DeepLearning","ddddddddesy"
"neutral","RT @deVSNU: @ScienceGuideEU @ScienceguideNL We confirm that we are exploring with Elsevier about services that contribute to increased know…","ignasi"
"negative","\"For the scientific acquisition of knowledge is almost as tedious as the routine acquisition of wealth.\" — Eric Lin… https://t.co/Y6nUWVLjE9","curated_data"
"neutral","RT @EvolveML: 4 Kursus Data Science dan Machine Learning di Jakarta!\n\n#ArtificialIntelligence #MachineLearning #DeepLearning","TheCuriousLuke"
"neutral","How can you make data open to non-IT teams, and create workflows without writing code? @alteryx is a self-service d… https://t.co/ewZ1bFSMHp","cynozure_uk"
"neutral","RT @gp_pulipaka: 6 Data Science Bootcamps for Mastering Machine Learning. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT…","jegutierrezr"
"positive","RT @giorgialupi: ❤️ IT’S OUT ! ❤️\n\nOut today, I am extremely proud to introduce my very first fashion-design project!🙃\n📈✏️👗👚⁣\n\nhttps://t.co…","rachelbinx"
"positive","RT @vboykis: Hot data science trends:\n\n2011 T-tests on laptops\n2012 Hadoop\n2013 Bayesian inference\n2016 Spark\n2017 Deep learning\n2019 Reinf…","lgw4"
"neutral","RT @EvolveML: 4 Kursus Data Science dan Machine Learning di Jakarta!\n\n#ArtificialIntelligence #MachineLearning #DeepLearning","AkbarYoso"
"neutral","RT @stevemagness: I witnessed the same behavior. At one point I was told that I needed to make a female athlete lose weight. \n\nWhen I showe…","Blink2XAmerica"
"neutral","Data science, yo! https://t.co/QmyfXfnjn7","jimgraham"
"neutral","@ladyinmedicine How does “science” prove that? Science does not concern itself with the metaphysical and philosophi… https://t.co/WYPj5K3DHQ","joe_shehan_tx"
"neutral","RT @stevemagness: I witnessed the same behavior. At one point I was told that I needed to make a female athlete lose weight. \n\nWhen I showe…","rtypaige"
"neutral","RT @Pivigo: We’re partnering with the FSA to deliver a #DataScience Hackathon in London, exploring how data can answer FSA’s key policy que…","jlesliedata"
"neutral","Data Science at Scale\n#Science #Scale\nUniversity of Washington\n-&gt; https://t.co/UR1S1rRqXv","money_personal"
"positive","Science Planning for Success in full swing analyzing targeted data. The East Area is going for the Gold each and ev… https://t.co/Qkklkbg93p","ABriscoeELHISD"
